24,254,196,0,255
106,231,99,24,255
21,222,0,13,255
221,222,55,139,255
23,0,87,168,255
28,0,123,40,255
119,149,185,11,255
192,91,28,12,255
18,214,114,64,255
1,244,244,244,255
26,1,1,1,255
226,255,255,153,255
222,238,157,195,255
212,135,192,234,255
37,0,150,36,255
5,217,187,123,255
283,245,193,137,255
208,228,228,218,255
191,244,155,0,255
124,156,0,107,255
102,71,140,198,255
135,94,116,140,255
151,95,130,101,255
138,141,116,82,255
38,168,61,21,255
194,156,146,145,255
154,128,8,27,255
268,44,21,119,255
140,0,37,65,255
141,0,52,22,255
312,170,125,85,255
199,76,81,86,255
308,48,15,6,255
131,141,148,150,255
297,170,127,46,255
148,73,63,59,255
294,254,252,213,150
44,249,239,105,150
182,236,118,14,150
47,231,102,72,150
41,224,42,41,150
113,238,157,195,150
126,156,149,199,150
42,182,224,234,150
43,80,177,232,150
143,206,227,246,150
48,99,178,110,150
311,153,255,102,150
49,250,237,91,150
111,166,145,130,150
40,238,238,238,150
