24,255,205,3,255
106,245,125,32,255
21,221,26,33,255
221,233,93,162,255
23,0,108,183,255
321,0,163,218,255
326,204,225,151,255
37,0,175,77,255
119,154,202,60,255
192,105,46,20,255
18,222,139,95,255
1,244,244,244,255
226,255,245,121,255
222,246,173,205,255
324,150,117,180,255
102,72,158,206,255
322,0,190,211,255
323,193,228,218,255
5,221,196,142,255
283,252,195,158,255
191,251,171,24,255
124,181,28,125,255
325,188,166,208,255
212,120,191,234,255
151,111,148,122,255
138,148,126,95,255
194,160,161,159,255
268,76,47,146,255
135,103,130,151,255
28,0,146,71,255
330,130,131,83,255
312,175,116,70,255
38,166,83,34,255
199,100,103,101,255
154,127,19,27,255
140,0,57,94,255
141,0,74,45,255
308,59,24,13,255
26,0,0,0,255
329,230,237,207,255
316,66,66,62,255
297,195,151,55,255
315,135,141,143,255
